Zeitstempel,Welche der folgenden Entwicklungsumgebungen hast du im letzten Jahr benutzt?,Welche der folgenden Entwicklungsumgebungen hast du am Anfang deines Studiums (1./2. Semester) genutzt?,Welche IDE nutzt du am meisten?,Welche IDE findest du am besten?,Warum findest du diese IDE am besten?,Welchen konsolenbasierten Editor nutzt du am meisten?,Welchen konsolenbasierten Editor findest du am besten?,Warum findest du diesen Editor am besten?,Welchen Editor mit GUI nutzt du am meisten?,Welchen Editor mit GUI findest du am besten?,Warum findest du diesen Editor mit GUI am besten?,Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [IntelliJ],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Eclipse],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Xcode],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Vim],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Atom],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Microsoft Visual Studio],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Netbeans],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [PyCharm],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Code::Blocks],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Sublime],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Gedit],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [IntelliJ],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Eclipse],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Xcode],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Vim],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Atom],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Microsoft Visual Studio],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Netbeans],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [PyCharm],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Code::Blocks],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Sublime],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Gedit],"Was sind Features, die dir in einer Entwicklungsumgebung am wichtigsten sind?"
31.05.2019 17:19:27,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Eclipse,Eclipse,Kenne keine anderen.,Idle,Idle,Programmiere nur Python.,Notepad++,Notepad++,Kenne keinen anderen.,,Mittelmäßig,,,,,,,,,,,Java/Kotlin,,,,,,,C/C++,,,"Codevervollständigung, Syntax-Highlighting"
31.05.2019 17:41:44,"IDEs (IntelliJ, Eclipse, Xcode, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",Eclipse,Eclipse,plugin markt ist sehr groß und umfangreich,Keinen,Keinen,,Visual Studio Code,Visual Studio Code,"Leicht konfigurierbar, exzellente Unterstüzung von Typescript aber auch gute Packages für andere Sprachen. Desweiteren gefällt mir die GUI und das Syntax-Highlighting sehr gut.",Mittelmäßig,Gut,Nicht einschätzbar,Gut,Nicht einschätzbar,Gut,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Java/Kotlin,"Java/Kotlin, JavaScript",,Bash/Konsolen-Scripts,,C/C++,,,,,,"Codevervollständigung, Debugger, Syntax-Highlighting"
31.05.2019 17:44:36,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Atom mit IDE-Plugins,Atom mit IDE-Plugins,Einfachheit ,Keinen,Keinen,,Atom,Atom,,Mittelmäßig,Gut,Nicht einschätzbar,Nicht einschätzbar,Gut,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,,,,,,,,,,,,Syntax-Highlighting
31.05.2019 18:00:14,"Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,Microsoft Visual Studio,,Vim,Vim,,Sublime,Sublime,,Gut,Mittelmäßig,Mittelmäßig,Gut,Sehr schlecht,Sehr gut,Mittelmäßig,Mittelmäßig,Schlecht,Gut,Schlecht,"Java/Kotlin, Python",,,"Java/Kotlin, Python, Bash/Konsolen-Scripts","Java/Kotlin, Python, Bash/Konsolen-Scripts","C/C++, C#",,,,"Java/Kotlin, Python, Bash/Konsolen-Scripts",,"Codevervollständigung, Debugger, Syntax-Highlighting"
31.05.2019 18:05:55,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",CLion,CLion,Im Grunde eine gewöhnlich smarte IDE. Das Debugging für C++ hat mich überzeugt.,Vim,Vim,"Der erste und einzige den ich probiert habe, der mehr konnte als Nano. Bin bei dem einfach geblieben.",Gedit,Gedit,"Meist beim Linux schon dabei. Wie bei vim, have noch kaum andere probiert. Ohne viel Schnickschnack, schnell und gut.",Nicht einschätzbar,Schlecht,Nicht einschätzbar,Sehr gut,Gut,Gut,Mittelmäßig,Gut,Mittelmäßig,Nicht einschätzbar,Sehr gut,,,,"C/C++, Python, Bash/Konsolen-Scripts",C/C++,,Java/Kotlin,,C/C++,,"C/C++, Python, Bash/Konsolen-Scripts","Codevervollständigung, Debugger, Syntax-Highlighting, Formatierung & Interpreter"
31.05.2019 18:11:49,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Atom mit IDE-Plugins,Atom mit IDE-Plugins,Einfach erweiterbar und auf eigene Wünsche einstellbar,Vim,Vim,relativ intuitiv und auf ziemlich allen Linux-Servern und Computern vorhanden,Atom,Atom,Einfach erweiterbar und auf eigene Wünsche einstellbar,Gut,Schlecht,Nicht einschätzbar,Gut,Sehr gut,Mittelmäßig,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,Java/Kotlin,,,"C/C++, Python, Bash/Konsolen-Scripts","C/C++, JavaScript, PHP, C#, Python, Bash/Konsolen-Scripts",,,,,,PHP,"Codegenerierung, VCS-Tools (beispielsweise für Git), Syntax-Highlighting"
31.05.2019 18:44:04,"IDEs (IntelliJ, Eclipse, Xcode, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",IntelliJ,IntelliJ,"IntelliJ beziehungsweise die IDEs von Jetbrains sind was Funktionsumfang, Autovervollstaendigung etc. angeht einfach am besten. Es gibt kein Grund fuer mich eine andere IDE zu benutzen.",Keinen,Keinen,"Wozu braucht man einen Konsolenbasierten Editor, wenn man Jetbrains Produkte nutzen kann?",Atom,Atom,"Atom ist leider zu aufgeblasen, aber die funktionalitaeten ueberschreien sublime um einiges.",Sehr gut,Schlecht,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,Mittelmäßig,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Gut,Schlecht,"C/C++, Java/Kotlin, JavaScript, PHP, C#, Python",,,,Bash/Konsolen-Scripts,C/C++,,,,Bash/Konsolen-Scripts,Bash/Konsolen-Scripts,"Codevervollständigung, Codegenerierung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting, Build-in functions wie z.B. gradle/ant oder CMake build in in allen Jetbrains produkten. Nicht zu vergessen ist auch library Verwaltung, decompiling, Suche von Funktionen etc."
31.05.2019 18:45:52,"IDEs (IntelliJ, Eclipse, Xcode, etc.)","Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Microsoft Visual Studio,Microsoft Visual Studio,"Debugging Möglichkeiten, Veröffentlichungsmöglichkeiten, Anbindung von Diensten wie SQL, Servern, Plugins",Keinen,Vim,dran gewöhnt und da alle eine relativ hohe lernkurve haben nicht gewechselt,Notepad++,Notepad++,"Plugins, Syntax Highlighting, Schnell",Nicht einschätzbar,Mittelmäßig,Gut,Gut,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,,Java/Kotlin,,,,"C/C++, C#",,,,,,"Codevervollständigung, Codegenerierung, Debugger, Syntax-Highlighting"
31.05.2019 18:56:58,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,,Vim,Vim,"Gewohnheit, Leistungsumfang ",Notepad++,Notepad++,Gewohnheit ,Sehr gut,Mittelmäßig,,Sehr gut,,Sehr gut,Gut,Sehr gut,Mittelmäßig,,,"C/C++, Python",Java/Kotlin,C/C++,"C/C++, Java/Kotlin, JavaScript, PHP, Python, Bash/Konsolen-Scripts",,C/C++,Java/Kotlin,,C/C++,,,"Codevervollständigung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting"
31.05.2019 19:12:08,"Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Keine,Keine,,Vim,Vim,,Keinen,Keinen,,Gut,Schlecht,,Sehr gut,Gut,Mittelmäßig,,Gut,,,,Java/Kotlin,,,"C/C++, JavaScript, Python, Bash/Konsolen-Scripts",,,,,,,,"Codevervollständigung, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 19:56:33,"Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Eclipse,IntelliJ,"Am Übersichtlichsten, kompakte Installation und Programm nicht zu groß",Nano,Nano,Ich kenne nur Nano und Vim und finde Vim furchtbar :D,Gedit,Sublime,Intuitiv und visuell ansprechend,Sehr gut,Gut,Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Sehr gut,Sehr gut,Java/Kotlin,"C/C++, Java/Kotlin",,Bash/Konsolen-Scripts,,,,,Java/Kotlin,Python,"Java/Kotlin, Python, Bash/Konsolen-Scripts","Debugger, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 19:58:48,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)",Microsoft Visual Studio,Microsoft Visual Studio,Farblich ansprechend,Vim,Keinen,,Visual Studio Code,Notepad++,Nicht so viele Knöpfe,Mittelmäßig,Nicht einschätzbar,Sehr schlecht,Schlecht,Nicht einschätzbar,Gut,Nicht einschätzbar,Schlecht,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,,,Python,Python,,C/C++,,,,,,"Codevervollständigung, Debugger, Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 20:01:38,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",Microsoft Visual Studio,Microsoft Visual Studio,Kann alles mögliche und ich bekomme sie kostenlos,Keinen,Keinen,,Visual Studio Code,Visual Studio Code,Man kann verschiedene Stile einstellen und habe noch nicht viele andere probiert,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Gut,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Java/Kotlin,,,,,"C/C++, Java/Kotlin, JavaScript, PHP, C#, Python","JavaScript, PHP",,,,,"Codevervollständigung, Debugger, Syntax-Highlighting"
31.05.2019 20:09:16,"Editoren mit GUI (Sublime, Atom, Gedit, etc.)","Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Kate,Kate,"Simpel, kann Keywords farblich hervorheben, überfordert mich nicht, hat geteiltes Layout. ",Keinen,Keinen,,Kate,Kate,"Läuft auf Mac und Linux, kennt sehr viele Sprachen",Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,Sehr schlecht,Gut,Nicht einschätzbar,Gut,Sehr schlecht,Sehr schlecht,Sehr schlecht,Mittelmäßig,,Java/Kotlin,,,,,,,,,"C/C++, Java/Kotlin, JavaScript, PHP, C#, Python, Bash/Konsolen-Scripts","Codevervollständigung, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 20:22:28,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,Eclipse,Sehr leicht zu installieren und zu konfigurieren,Vim,Vim,,Atom,Atom,,Gut,Gut,,Gut,Gut,,,,,,,Java/Kotlin,Java/Kotlin,,"Java/Kotlin, Bash/Konsolen-Scripts","Java/Kotlin, Python, Bash/Konsolen-Scripts",,,,,,,"Codevervollständigung, Codegenerierung, Syntax-Highlighting"
31.05.2019 20:45:16,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,,Nano,Nano,Simpel,Sublime,Sublime,Schön,Sehr gut,Mittelmäßig,Sehr schlecht,Sehr schlecht,Sehr schlecht,Mittelmäßig,Mittelmäßig,Sehr gut,Sehr schlecht,Sehr gut,Mittelmäßig,"Java/Kotlin, JavaScript, PHP, Python",,,,,"C/C++, C#",,,,Bash/Konsolen-Scripts,Bash/Konsolen-Scripts,"Codevervollständigung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting"
31.05.2019 20:50:00,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Eclipse,Microsoft Visual Studio,,Nano,Nano,am einfachsten zu bedienen,Sublime,Sublime,meiste Features bei sauberer UI,Mittelmäßig,Gut,Nicht einschätzbar,Schlecht,Nicht einschätzbar,Sehr schlecht,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Gut,Sehr schlecht,Java/Kotlin,"C/C++, Java/Kotlin, JavaScript",,,,JavaScript,,,,"C/C++, Bash/Konsolen-Scripts",,"Codevervollständigung, Debugger, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 21:39:58,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,Eclipse,"Eclipse is love, Eclipse is life",Keinen,Keinen,,Notepad++,Notepad++,Spartanisch aber nicht zu spartanisch,Mittelmäßig,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Python,Java/Kotlin,,,,,,,,,,"Codevervollständigung, Syntax-Highlighting"
31.05.2019 22:38:40,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Geany,Geany,Isso,Vim,Vim,Isso,Geany,Geany,Isso,Sehr schlecht,Mittelmäßig,Sehr schlecht,Gut,Sehr schlecht,Sehr schlecht,Gut,Sehr schlecht,Sehr schlecht,Sehr schlecht,Sehr gut,,,,"C/C++, JavaScript, Python",,,Java/Kotlin,,,,,"Codevervollständigung, Syntax-Highlighting"
31.05.2019 22:55:49,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)",Microsoft Visual Studio,IntelliJ,"übersichtlich, go to funktion",Vim,Vim,mächtig,Visual Studio Code,Visual Studio Code,,Gut,Mittelmäßig,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,,,,"C/C++, Java/Kotlin, Python, Bash/Konsolen-Scripts",,,,,,,,Codevervollständigung
01.06.2019 01:49:54,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Eclipse,Eclipse,,Vim,Emacs,,Notepad++,Notepad++,,,Sehr gut,,,,,,,,,,,"C/C++, Java/Kotlin",,,,,,,,,,"Codevervollständigung, Debugger, Syntax-Highlighting"
01.06.2019 02:29:35,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,Microsoft Visual Studio,,Vim,Vim,,Sublime,Sublime,,Gut,Mittelmäßig,Nicht einschätzbar,Gut,Gut,Sehr gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Sehr gut,Mittelmäßig,"Java/Kotlin, Python",Java/Kotlin,,"C/C++, Java/Kotlin, Python",,Java/Kotlin,,,,"C/C++, Java/Kotlin, JavaScript, Python, Bash/Konsolen-Scripts",,"Codevervollständigung, Debugger, Syntax-Highlighting"
01.06.2019 06:50:46,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,"Habe die Kommerzielle Edition, Unterstützung für CMake/C++ ist sehr gut, Scala/Java Projekte mit Maven oder SBT funktionieren auch bestens, Integration vieler Tools: LLDB, GDB, clang-tidy, PEP 8 (python), ...",Vim,Vim,"Ist auf fast jedem Linux System vorhanden, Vim‘s Input Modes sind super streamlined, kann man richtig schnell und komfortabel mit editieren. Syntax highlighting. Man kann Vim mit Plugins auch zu einer IDE pimpen.",Visual Studio Code,Visual Studio Code,Super Handhabung. Doesn’t get in my way. Plugins für Haskell. Konfigurierbar. Split panes. Eine vertikale Liste von offenen Tabs. Integration mit git. Der Unterschied zwischen Atom und VSCode ist gering aber VSCode trifft mit allem einfach immer besser meinen Geschmack als Atom. Github integration in atom ist allerdings ziemlich nice.,Gut,Gut,Mittelmäßig,Sehr gut,Sehr gut,Nicht einschätzbar,Schlecht,Sehr gut,Nicht einschätzbar,Schlecht,Schlecht,"C/C++, Java/Kotlin, Python",,,"JavaScript, PHP, Python, Bash/Konsolen-Scripts",,"Java/Kotlin, JavaScript, PHP, Python, Bash/Konsolen-Scripts",,,,,,"Codevervollständigung, Debugger, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.), Statische Aalyse des Projekts, Refactoring Tools, „Find Usage“"
01.06.2019 07:45:58,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Netbeans,Eclipse,,Keinen,Keinen,,Atom,Atom,mit Macbook ist er kompatibel und leicht zu installieren,,Gut,,,Gut,,Mittelmäßig,,,,,,Java/Kotlin,,,"C/C++, Python",,Java/Kotlin,,,,,"Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
01.06.2019 07:48:17,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Geany,Geany,"Minimalistisch, einfache Bedienung",ne,ne,Support für GUI-Tastenkombinationen,Gedit,Gedit,Ästhetik,Gut,Sehr gut,Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,Sehr gut,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Sehr gut,Python,"C/C++, Java/Kotlin",,Bash/Konsolen-Scripts,,C/C++,Java/Kotlin,,,,"Python, Bash/Konsolen-Scripts","Codevervollständigung, Codegenerierung, Syntax-Highlighting"
01.06.2019 08:00:27,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,"InelliJ, sublime und Atom","Schnell, erweiterbar, intelligent",Vim,Vim,Aus Gewohnheit,Sublime und Atom,Sublime und Atom,"Sublime schnell, Atom umfangreich",Sehr gut,Mittelmäßig,Mittelmäßig,Mittelmäßig,Sehr gut,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Sehr gut,Mittelmäßig,Java/Kotlin,,,Bash/Konsolen-Scripts,"JavaScript, PHP, Python, Bash/Konsolen-Scripts",,"JavaScript, PHP, Bash/Konsolen-Scripts",,,"Python, Bash/Konsolen-Scripts",,"Codevervollständigung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting"
01.06.2019 08:00:32,"IDEs (IntelliJ, Eclipse, Xcode, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",IntelliJ,IntelliJ,"Gute Git-Integration, viele Features & Plugins für Programmiersprachen/Bibliotheken",ne,ne,Sehr einfach zu bedienen,Visual Studio Code,Visual Studio Code,Ein okayer Kompromiss zwischen Editor und IDE,Sehr gut,Schlecht,Nicht einschätzbar,Nicht einschätzbar,Gut,Gut,Mittelmäßig,Sehr gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,"C/C++, Java/Kotlin, JavaScript, Python",,,Bash/Konsolen-Scripts,,,,,,,,"Codevervollständigung, Codegenerierung, VCS-Tools (beispielsweise für Git), Debugger"
01.06.2019 08:03:04,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Eclipse,Keine,,Keinen,Keinen,,Visual Studio Code,Visual Studio Code,,Gut,Gut,Nicht einschätzbar,Nicht einschätzbar,Gut,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,"Java/Kotlin, JavaScript","Java/Kotlin, JavaScript",,,,"JavaScript, PHP",,,,,,"Codevervollständigung, Codegenerierung, Debugger, Syntax-Highlighting"
01.06.2019 08:06:43,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,Geschwindigkeit,Nano,Nano,Einfacher Umgang,Sublime,Sublime,,Sehr gut,Gut,Mittelmäßig,Schlecht,Mittelmäßig,Mittelmäßig,Sehr schlecht,Nicht einschätzbar,Nicht einschätzbar,Gut,Nicht einschätzbar,"C/C++, Java/Kotlin",,,,,C#,,,,"C/C++, Java/Kotlin, JavaScript, PHP, C#, Python, Bash/Konsolen-Scripts",,"Codevervollständigung, VCS-Tools (beispielsweise für Git), Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
01.06.2019 08:07:01,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Microsoft Visual Studio,Microsoft Visual Studio,Bester Debugger und Diagnosewerkzeuge ,Vim,Vim,Kann ihn bedienen,Visual Studio Code,Visual Studio Code,"Erweiterbar, wird durch zur IDE",Mittelmäßig,Gut,Nicht einschätzbar,Gut,Mittelmäßig,Sehr gut,Schlecht,Gut,Schlecht,Nicht einschätzbar,Sehr schlecht,Java/Kotlin,Java/Kotlin,,"JavaScript, PHP, Python, Bash/Konsolen-Scripts",,"C/C++, C#",,,,,Bash/Konsolen-Scripts,"Codevervollständigung, Debugger, Syntax-Highlighting, Diagnosewerkzeuge und GUI Werkzeuge, wenn benötigt"
01.06.2019 08:10:50,"IDEs (IntelliJ, Eclipse, Xcode, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",IntelliJ,IntelliJ,,Nano,Nano,,Keinen,Keinen,,Sehr gut,Mittelmäßig,Gut,Schlecht,Schlecht,Gut,Mittelmäßig,Gut,Nicht einschätzbar,Nicht einschätzbar,Gut,"C/C++, Java/Kotlin, JavaScript, PHP",,C/C++,,,"C/C++, C#",,,,,,"Codevervollständigung, Codegenerierung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
